ICO,AR7,AR30,AR180
aeternity,0.768152174,-0.056550968,-2.856665276
populous,-0.324426142,0.467092276,10.00733484
metal,0.666464702,1.771974336,0.969067609
aragon,0.246610134,-0.342843087,-2.579965257
enigma-catalyst,-0.254557008,-0.413605087,0.967380523
golem,-0.140081858,-0.178952258,10.62435211
request-network,-0.22877615,-0.489819615,1.942718896
iex-ec,0.069971248,-0.162765018,-3.420031965
gnosis,0.25413391,1.320866613,-3.07036019
mco,-0.387055667,-0.622626002,1.673997926
matchpool,-0.712523855,-1.054769582,-4.090949774
contentos,-0.714312938,-0.083757111,-0.477870058
appcoins,-0.223070591,-0.403669765,-0.374021355
genesis-vision,-0.057729649,0.091118507,5.725701778
metadium,-0.214416023,-0.058037941,0.780459815
skychain,-0.257313486,-0.25006895,-1.475673786
swissborg,-0.339378432,-0.705264592,-0.612212522
electroneum,-0.478956725,-0.863284206,-1.290408856
starbase,-0.160329006,0.769229249,-0.390980495
suncontract,-0.368790919,-0.622825099,0.504117071
egretia,0.249701043,-0.202522503,-0.501580391
blockmason,-0.492677504,0.402841201,0.892073233
everex,-0.52148785,-0.432160695,-0.89508171
neblio,0.979797281,1.566872334,15.87343794
odem,0.513534989,0.951522942,1.581940975
airswap,-0.454799118,-0.702083052,-0.6076818
bankex,-0.142064328,-0.244683783,-0.344419254
blocklancer,-0.453924145,-0.262362428,-0.649880577
credits,0.455202864,0.770885946,-0.097056317
crowdwiz,0.425529728,0.191944545,-0.741343984
mark-space,0.725741238,-0.086780791,-0.540206398
monetha,-0.012514355,-0.437274915,-2.018337162
paycent,0.080341896,0.633061185,-0.117227043
presearch,-0.394742099,1.823058582,0.077453004
revain,0.029840535,1.19520375,10.88087349
rivetz,-0.004354482,-0.360090824,-1.231392564
chronobank,-0.380333889,-0.377276623,-6.310815989
district0x,1.046258089,3.804040722,5.497761346
eidoo,-0.16341656,-0.315484754,-0.727198746
mysterium,0.160839758,-0.490414268,-5.142285759
opus,-0.083242427,-0.159279963,-1.436864652
santiment,-0.427121627,-0.140467361,17.56749739
sonm,-0.76758853,-0.615877037,-5.637517491
stockchain,0.01129534,0.678567839,-0.702301687
bankera,-0.223944639,-0.443005816,-0.198103757
humaniq,-0.311122239,1.031418594,-2.505121016
nimiq,-0.082434828,-0.357220806,-0.240150268
pillar,-0.297499273,0.24359778,7.502832426
tokendesk,-0.411433268,-0.94889245,-0.704955397
decent,-0.068362384,0.165098046,12.46348399
engagement-token,-0.54514513,-0.637797509,-0.434095276
nitro,-0.505663483,-0.704908556,-0.555066742
patientory,0.86579611,-0.648271353,-3.215123329
storiqa,0.033238714,-0.087982104,0.062579369
alis,1.04075528,0.46087248,0.251967012
biocoin,-0.163883126,-0.302098654,-0.517960879
kin,-0.248659041,-0.876799389,-0.28503669
polybius,-0.590390956,-0.493423363,-3.921326784
wings,0.315764759,1.983759118,7.913392155
zrcoin,-0.945917467,-0.670012831,-5.974971098
dimcoin,-0.7893339,-0.877820529,-0.433438775
firstblood,-0.270199533,-0.601072141,-0.938999921
internxt,-0.620332349,-0.772958067,0.078588434
investfeed,-0.320397953,0.501396078,-0.951824259
mobilego,-0.44783447,-0.477771488,-5.271603651
smartmesh,0.50270807,3.288119671,0.774206328
worldcore,0.192874557,1.671334148,-0.186912518
hubii-network,-0.306564776,-0.646031872,0.984902349
incent,10.79168495,2.471332311,29.91894187
maecenas,-0.133447756,-0.537072609,-0.694164616
primalbase,-0.04055959,-0.681867432,-3.579055114
substratum,0.328975347,1.833857125,6.586826104
taas,-0.025126521,-0.189747171,0.017024097
wagerr,0.140765445,0.098357084,2.726161248
arcblock,-0.154767474,-0.210697144,-0.455252061
blockcat,0.988771647,0.062095974,-1.039335466
ignis,0.078747881,-0.726668648,-0.48678988
bitdice,0.049765762,-0.150235807,-1.154267324
starta,-0.115795536,-1.08951491,-4.75222439
adelphoi,1.321080038,0.103267221,-4.535400261
edgeless,0.310614156,2.033449659,27.09155322
singulardtv,-0.137670494,-0.567961111,0.401597193
ecobit,0.062064248,0.091158086,-3.930333126
etheroll,0.386225136,-0.820215415,-1.337228779
yoyow,-0.40470371,-0.595594528,-1.41131979
qash-by-quoine,1.062078888,-0.219382716,-0.159483325
spectiv,0.140060935,0.872630154,-0.462494619
adex,-0.151045699,-0.520409886,6.032430256
agrello,-0.011284555,-0.530742152,-1.831709994
digitex,-0.059297307,-0.308503876,4.506222422
nexus,-0.375625343,-0.699607542,-1.373452062
six-network,0.022897828,0.038112925,-0.190537198
quant-network,-0.044236513,2.739483347,8.557085572
crypterium,-0.417364715,-0.724617342,-0.473220879
hive-project,-0.009136868,-0.281248456,1.450018036
wetrust,1.514397059,0.496450738,-1.530529212
crypto20,-0.091790918,-0.386920887,-0.330563051
vibehub,4.366539193,1.901174074,20.21216186
fetch-ai,-0.299475653,-0.576607514,-2.276061229
kryll-io,-0.187696186,-0.225507533,-0.113358923
indorse,-0.54518446,-0.911314577,-1.719403996
cosmochain,0.082412687,0.310167681,-0.158900219
wabi,0.188188147,2.46100867,-0.097840662
dock-io,0.461819412,0.672889234,-0.407897627
chrono-logic,-0.014754231,-0.919559852,-1.952133517
mobius-network,-0.141492399,-0.337744747,-0.391589002
